GSM1841251,GSM1841259,GSM1841261,GSM1841263,GSM1841266,GSM1841268,GSM1841270,GSM1841273
2270.2889,1901.3855,2540.7184,1008.5666,2564.2465,2211.3137,2231.9012,2113.9033
609.1125,632.4523,552.9617,339.2913,835.0816,668.1272,700.7757,547.6506
43.8163,19.0474,36.4404,15.7758,79.8604,7.991,19.0297,8.9537
0,0.9517,0,0,0.9483,0,0,3.3017
30.9293,59.0018,30.7379,10.0247,111.3836,83.5078,55.0152,58.4011
4.2852,3.869,10.6478,8.6752,8.826,7.9228,4.3866,2.9241
414.6032,385.3106,356.921,227.5032,579.6118,408.4366,450.8656,332.1951
27.941,31.8603,103.7688,141.0197,167.8659,99.2848,158.1624,165.4685
551.1542,786.9296,748.5405,657.3152,822.1063,778.7955,586.5125,694.6491
943.415,1091.396,772.7899,392.6461,1047.1328,871.1418,1011.6732,602.1939
226.1223,293.1242,531.1213,283.6683,655.1616,70.847,332.7017,180.2552
1736.7055,1864.9709,1927.7983,1071.7499,2292.6254,2387.7046,2213.9984,2075.5532
1132.2443,1381.4667,1196.6874,596.1527,1739.2995,1267.6597,1290.8621,1011.1887
32.7117,14.4951,93.8795,17.1455,18.8771,16.5332,34.2775,22.4767
187.5395,274.375,167.9946,114.4587,267.1962,218.7485,189.6842,207.8328
686.2974,815.732,1064.6968,646.4923,833.8851,685.1008,711.0026,637.0274
570.8798,623.5021,632.1884,593.228,768.5103,610.995,829.6544,432.0194
2913.2182,2575.2617,2669.0847,1115.5563,3324.2105,2597.5377,2739.7232,2299.132
20213.4644,20420.172,18434.0572,16646.5794,19227.1652,14917.5893,11157.1735,14330.7646
1112.1807,1043.2568,1188.9646,569.8867,1006.6318,821.6703,1245.0718,853.5624
2687.0708,2664.261,3604.2725,1182.4884,3861.2918,2498.7619,6140.4353,2546.1974
24102.3275,23976.2023,28473.0852,25917.7185,21335.8493,26494.5841,23270.2658,19843.6244
590.8129,701.4026,764.7776,250.3566,1038.5409,1127.5653,864.4867,793.5467
1344.9203,1185.8291,1293.0983,631.9916,1776.4445,1194.8396,1529.2319,1105.6793
852.4904,350.4375,429.699,398.9592,817.4048,335.3954,440.8857,872.3645
171.4624,198.3292,89.268,66.0945,305.7243,274.8979,166.6725,184.0721
983.2855,894.85,1202.9643,709.0949,1563.1894,1098.0531,972.752,1268.455
2533.2653,3231.2077,3244.249,1821.9671,3716.8911,3380.6912,3578.7316,3699.5011
4099.9439,4324.5902,8771.2042,7280.0566,4263.6436,1949.2981,5928.3563,2819.302
568.326,645.5047,565.857,465.8754,593.6583,499.1229,426.5035,455.3965
107.7336,92.5731,33.5994,46.8517,90.592,171.5041,121.898,85.5997
3876.0852,3606.8634,3387.4003,1697.9717,4975.9167,4432.0732,4892.4766,3841.0508
0.7657,2.0673,3.2169,0.7377,0,0,1.9197,1.0177
240.816,224.1662,282.1916,123.7976,302.1365,276.9754,284.5172,202.8788
508.5322,619.9138,1185.0431,419.5225,959.4906,503.1776,965.3135,902.309
334.8326,382.5766,457.0586,466.5308,420.1659,314.9645,368.7742,262.0063
119.8737,89.7721,233.347,48.2614,145.7595,112.7452,224.8585,171.7807
180.9644,326.6925,197.9297,68.2607,372.1966,299.8127,288.8487,275.313
2383.3518,2222.2319,2213.521,1431.7419,2557.0024,2441.4235,2206.5882,2089.9085
1231.1945,1883.0884,2725.131,1389.6463,1865.092,2035.4649,1860.1425,1454.7783
957.2683,660.0191,1083.773,608.347,1074.1752,1012.4098,884.032,611.0423
41.6713,64.3842,53.333,3.6729,135.8159,32.9957,35.7555,80.7087
986.2211,1286.6517,1254.7668,827.0976,1391.8495,1402.6013,1520.0062,1128.3063
1135.868,1328.968,1561.5424,1116.9291,1199.7668,1052.6466,1121.0606,1128.2743
1498.3199,1153.1284,1158.4248,658.9175,1891.1918,1659.1813,1375.8758,1590.5632
2478.3308,3979.8885,5002.7189,1950.5605,4051.9078,2895.9695,4452.6602,3475.7907
176.5588,109.7269,269.3597,121.0208,114.7976,162.2726,228.511,128.9293
5.1134,6.8853,8.3701,1.4357,5.8219,0,2.919,2.2861
10111.5438,8054.6086,7466.5357,6452.0288,10608.9192,8304.3463,5554.0973,7858.482
266.8848,246.0521,243.3477,198.3856,297.5045,287.7782,361.8829,196.6858
292.8589,340.4499,577.5125,284.2792,396.9207,481.6303,452.4851,435.9177
220.0636,259.5705,367.4751,212.801,451.681,453.9959,303.6218,344.5178
242.7316,330.237,420.4566,214.3891,409.5829,361.2544,346.51,297.0033
169.5538,179.2145,135.3238,94.4839,475.1126,198.4925,320.2739,145.8985
2108.707,1731.5735,2394.571,2067.9495,2523.2879,2270.3173,2211.611,1959.2776
276.9296,248.2037,173.5481,126.6681,611.6056,329.6779,469.9566,240.5871
354.8176,297.0454,560.991,475.8708,412.2857,297.281,516.2303,240.9664
2091.778,2255.8491,2065.5076,2066.0522,5410.4629,4688.7683,3757.9162,3213.5759
1913.7105,1897.4798,1864.6616,1112.3415,1830.9779,1485.937,1781.6502,1187.1485
2556.9438,2098.2903,3486.4447,1552.0378,2363.6399,2132.2324,2545.5382,1995.0005
10.326,9.4082,19.9864,8.666,15.7316,8.8153,9.9208,14.6269
2769.265,4082.2977,2324.1977,1146.4161,1295.6788,1220.0087,655.9847,1627.6023
619.7413,810.1177,885.4781,345.8098,1036.1398,1065.577,563.8438,1009.5243
586.9695,575.4785,430.8449,396.1475,751.2083,508.6359,865.8979,343.0553
721.2978,363.4818,1781.949,1134.3702,191.0521,143.815,1076.8213,712.983
18.6301,18.0383,26.6483,17.0352,72.3845,61.1041,59.2129,26.0951
1455.2569,1469.454,1766.9893,914.6615,1137.4316,1234.9247,1095.2584,1308.6775
1513.0735,1903.2466,1534.4536,841.2537,2408.8098,2658.6392,2028.1219,1912.714
35299.5669,84757.76,60069.481,19474.3492,83589.2795,36840.2991,78148.9043,35194.2453
