Gene_ID,metap,metap.adjust,metafc,idx,Gene_Symbol,Gene_Description
163,1.33441051875139e-05,4.18478400778498e-05,-1.14806185311527,-5.59646921972067,AP2B1,adaptor related protein complex 2 subunit beta 1
134,5.73283281979625e-07,2.84644895712982e-06,0.892156631356012,5.568512239898,ADORA1,adenosine A1 receptor
155,2.63771880458558e-06,1.06665646395961e-05,-0.975030646524627,-5.43947318686137,ADRB3,adrenoceptor beta 3
683,0.000198366012797794,0.000463817603423753,1.44184022515007,5.33846063370902,BST1,bone marrow stromal cell antigen 1
76,1.96217968530385e-05,5.83590216080694e-05,-1.13143949664842,-5.32598127089995,,
511,0.00046502068799606,0.000940239198097298,-1.55021643250466,-5.16613924206751,,
152,2.0356728725904e-05,5.98535608221209e-05,-1.09590053250101,-5.1411894126852,ADRA2C,adrenoceptor alpha 2C
122,9.9951727880534e-06,3.2912676109233e-05,-1.01430624775928,-5.0717439324944,,
501,5.01891039016258e-06,1.86590136279432e-05,0.94042986376633,4.98370514081838,ALDH7A1,aldehyde dehydrogenase 7 family member A1
236,4.60126629348183e-05,0.0001233246372846,-1.14087762749948,-4.94812617819196,,
260,0.000423089712695521,0.000866863811345044,1.44407606344871,4.87168812468946,,
1390,9.18005192411434e-08,5.87778324585654e-07,-0.685721888547634,-4.82553112220586,CREM,cAMP responsive element modulator
365,1.86662931337074e-06,7.75239741859381e-06,-0.830919133824517,-4.76028745651347,,
72,0.000109929419962693,0.000271002473811771,1.19817440341716,4.74343594740067,ACTG2,"actin gamma 2, smooth muscle"
230,8.94351852502646e-06,3.07074952089811e-05,-0.938265872347215,-4.73682736488779,ALDOC,"aldolase, fructose-bisphosphate C"
240,5.81040199615588e-06,2.12586930176814e-05,-0.894656761383648,-4.68423834195642,ALOX5,arachidonate 5-lipoxygenase
305,6.62800493772162e-06,2.3871174033513e-05,-0.894809803585955,-4.63387741874097,,
24,0.000259510770287603,0.000589332340406823,1.27588402106817,4.57512184405613,ABCA4,ATP binding cassette subfamily A member 4
184,4.96152611313904e-05,0.000131451927480293,-1.04806173480803,-4.51126091541069,,
247,0.000384926699821093,0.000799329768547405,-1.31064819409275,-4.47536811026266,ALOX15B,arachidonate 15-lipoxygenase type B
382,1.05862180222049e-05,3.43679331565948e-05,-0.893682279032892,-4.44630095024747,ARF6,ADP ribosylation factor 6
103,3.08007413434325e-08,2.44812788953834e-07,0.589608273071922,4.42880647703884,ADAR,adenosine deaminase RNA specific
113,5.86496315941457e-05,0.000149378343452493,-1.03740870144551,-4.39003841196816,ADCY7,adenylate cyclase 7
70,1.09175541253547e-05,3.51957514111084e-05,-0.872242796385421,-4.32795941682317,ACTC1,actin alpha cardiac muscle 1
46,6.25712989705768e-05,0.000157624966259213,1.01463461849538,4.26514327471277,,
144,5.59742676580526e-05,0.000144967063990799,1.0018369842231,4.25982245801249,,
579,5.09495348535478e-05,0.000134215631814203,0.988090566700645,4.24173424938137,NKX3-2,NK3 homeobox 2
73,0.000313766379543521,0.000675670595655059,1.20403837151444,4.21822031702941,,
472,3.06510665010222e-08,2.44812788953834e-07,0.559320186741478,4.20248265549566,ATM,ATM serine/threonine kinase
1360,2.61310630994255e-09,3.44183431109575e-08,-0.481932021929361,-4.13634684299065,CPB1,carboxypeptidase B1
629,3.1056957188218e-06,1.23424631584211e-05,-0.74366392792968,-4.09598274432089,CFB,complement factor B
96,1.49628817136459e-08,1.3266662710566e-07,0.521160855069843,4.07807574701579,,
243,1.50337936150052e-05,4.65139520571638e-05,0.831408436908608,4.00982586995611,,
125,0.000147786453510412,0.000354841432647395,1.04329466462518,3.9961997568772,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide"
48,3.19590545338908e-06,1.25924137949775e-05,-0.725403026555625,-3.98638420054758,ACO1,aconitase 1
523,3.42556168412901e-06,1.33829147151142e-05,0.727209548683575,3.97439522677687,ATP6V1A,ATPase H+ transporting V1 subunit A
200,3.68164756946302e-07,1.95085003393385e-06,0.616303872076097,3.96527309705667,,
83,6.9271100952616e-05,0.000172616094806249,-0.946800502699757,-3.93816737204373,,
107,1.83627207828455e-06,7.69564934626524e-06,-0.68591003951166,-3.93442317802505,ADCY1,adenylate cyclase 1
40,2.40008651991066e-08,2.01170888305239e-07,0.515632161427115,3.92900007430803,ASIC2,acid sensing ion channel subunit 2
29,0.000255981789736796,0.000584196064696351,1.09010466325003,3.91542804092741,ABR,ABR activator of RhoGEF and GTPase
98,3.30416013673051e-05,9.12106480857943e-05,0.84507154731944,3.78671398038188,ACYP2,acylphosphatase 2
340,0.000341105911404213,0.000722670680654997,1.08303898789437,3.75501612209734,,
218,7.1902499179955e-07,3.45281792937075e-06,-0.603012514424187,-3.7044602558683,ALDH3A1,aldehyde dehydrogenase 3 family member A1
185,2.4006056339853e-05,6.87378383395792e-05,-0.793514913508215,-3.66578432415174,AGTR1,angiotensin II receptor type 1
102,5.29029836880484e-05,0.000137786867119719,-0.839917083387663,-3.5919220655151,ADAM10,ADAM metallopeptidase domain 10
109,0.00373387232984132,0.00571865496364401,-1.47885251253813,-3.59041807628499,ADCY3,adenylate cyclase 3
128,0.000341740148335768,0.000722670680654997,1.01292623212417,3.51111024646495,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide"
36,6.98272769170456e-08,4.80453353115791e-07,0.482706772559637,3.45423754559511,ACADSB,acyl-CoA dehydrogenase short/branched chain
132,0.000930590722868018,0.00171600929296863,1.13715586569757,3.44699380337144,ADK,adenosine kinase
204,1.16291412684127e-05,3.72294036440157e-05,-0.669895211401113,-3.30556600264995,AK2,adenylate kinase 2
120,0.000208119348010753,0.000482125725793756,0.879787572458868,3.23910294628685,ADD3,adducin 3
181,1.18841202658825e-06,5.39728086923431e-06,0.541271246812276,3.20704997865771,AGRP,agouti related neuropeptide
1907,4.80438106975282e-05,0.000128024258563934,0.742106763248667,3.20468605667273,EDN2,endothelin 2
330,9.1685413787032e-07,4.31295670977773e-06,0.528661753936803,3.19190093992315,BIRC3,baculoviral IAP repeat containing 3
206,0.0401698225199696,0.0477275468600669,-2.28540412504642,-3.19065289799617,,
133,0.0032692148966117,0.00510884090623049,1.27833539248309,3.17737488337527,ADM,adrenomedullin
173,2.14064218037795e-05,6.20651600725934e-05,-0.679956941380171,-3.17502896612296,AFM,afamin
220,0.00040473905366715,0.000832967427413198,0.929004559100088,3.15194978926128,ALDH1A3,aldehyde dehydrogenase 1 family member A3
143,0.000279460530038693,0.000610574902122453,0.861840895788467,3.06270634222075,PARP4,poly(ADP-ribose) polymerase family member 4
45,0.000126303309131195,0.000309711837816387,0.769680238793993,3.00066404221387,,
50,1.80885000132165e-06,7.67169015971832e-06,-0.518942748153453,-2.98007929988965,ACO2,aconitase 2
278,0.00351942868542401,0.00545108707764151,-1.20434120053866,-2.95488465297444,AMY1C,amylase alpha 1C
51,2.04417651720864e-06,8.41397655743914e-06,-0.518932937458493,-2.9524594019217,ACOX1,acyl-CoA oxidase 1
502,3.33897902360225e-05,9.16231743976569e-05,0.647346580309802,2.89777336946848,,
77,0.000129378063555798,0.000315572948673137,0.736806106801784,2.86480481966364,,
276,4.26200010102075e-09,4.91195511642642e-08,-0.340077449134393,-2.84657970426388,AMY1A,amylase alpha 1A
157,9.74638689534074e-07,4.53846904924452e-06,-0.470029943989067,-2.82542348378579,GRK3,G protein-coupled receptor kinase 3
49,3.61000923654403e-06,1.39849937650992e-05,-0.51458453915814,-2.80062207658066,ACR,acrosin
738,6.23654189572724e-06,2.26381560151989e-05,-0.532181306610138,-2.77003358598073,VPS51,VPS51 subunit of GARP complex
317,1.9424361870296e-05,5.81469533909509e-05,0.586055244288187,2.76128909042157,APAF1,apoptotic peptidase activating factor 1
488,0.000506556202741376,0.00100656210975765,0.829908365680293,2.73485709156592,ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
121,0.000403556785113679,0.000832967427413198,0.795495665642553,2.69998813682159,,
58,2.67936137213036e-07,1.4704590387525e-06,-0.4084315403875,-2.68419930281334,ACTA1,"actin alpha 1, skeletal muscle"
252,0.0531353818656883,0.0621710940103612,-2.10568688391677,-2.6839426016266,,
210,2.16657487154391e-05,6.2424438486359e-05,0.573340997685998,2.6741921592502,ALAD,aminolevulinate dehydratase
1085,1.41356115219627e-05,4.40305196731406e-05,0.551009721327262,2.67222380007105,,
229,0.00218270201374036,0.00363258349579172,0.971221868215227,2.58442678245572,ALDOB,"aldolase, fructose-bisphosphate B"
75,0.000696718135028829,0.00134387891317276,0.81855088950338,2.58411840660534,,
86,0.00076169612164234,0.00145186439728331,-0.827528317503861,-2.58041390676168,ACTL6A,actin like 6A
178,0.000316348409725009,0.000675670595655059,-0.736134328524257,-2.57634820505078,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"
311,0.000665893793998101,0.00128981949173582,-0.806818742066534,-2.56293640828094,ANXA11,annexin A11
192,0.000194741028503642,0.000458038847653974,0.69002012884244,2.56034904197081,,
169,0.00333139725892783,0.00518842613637071,1.02368543151201,2.53605123809534,,
376,5.83482842126026e-05,0.000149378343452493,0.598940741483558,2.53589827536225,,
154,0.00155002309840751,0.00270666912259796,0.889443090066644,2.49903430006005,ADRB2,adrenoceptor beta 2
30,0.000153000182165603,0.000365456393670171,0.654104622284978,2.4956106323203,ACAA1,acetyl-CoA acyltransferase 1
399,0.000554804424959699,0.00109301213635223,-0.763757603859333,-2.48668789608731,RHOH,ras homolog family member H
110,0.000474420233490081,0.00095505557920929,0.743158225433197,2.47013665574528,,
201,0.000267666817930611,0.000595691684979125,-0.690287045943772,-2.46598521466644,,
1480,8.06196524018852e-06,2.83707326391367e-05,-0.481382018261388,-2.45194774942595,,
71,4.32945728501239e-06,1.649487444951e-05,0.451165139582376,2.41985424704174,ACTG1,actin gamma 1
816,2.0383967568488e-05,5.98535608221209e-05,0.514441697856945,2.4130974752045,CAMK2B,calcium/calmodulin dependent protein kinase II beta
222,0.002335931053584,0.00381772207968891,0.911513610677509,2.3986845086611,ALDH3B2,aldehyde dehydrogenase 3 family member B2
302,0.0055107984246311,0.0081950905604998,1.05926221160679,2.39264609717585,ANXA2,annexin A2
68,0.000833257242399722,0.00156774176898339,-0.775508597587695,-2.38796228407479,,
301,5.21119485190295e-05,0.000136497774245867,-0.546868842309948,-2.34227353362631,ANXA1,annexin A1
4,0.000131389214607123,0.00031879172596781,0.598488501673231,2.32299737954479,,
116,0.000581207657458988,0.00113053472611221,-0.707959967011793,-2.29072388662337,ADCYAP1,adenylate cyclase activating polypeptide 1
216,0.000954389359646096,0.00174592656665417,0.758055498868071,2.28953562550019,ALDH1A1,aldehyde dehydrogenase 1 family member A1
141,0.000439649589417537,0.000896807348325152,-0.675723069238557,-2.26833026276145,ADPRH,ADP-ribosylarginine hydrolase
241,0.00163998443196822,0.00282101799678116,0.806282476146578,2.24562592266965,ALOX5AP,arachidonate 5-lipoxygenase activating protein
225,0.000281356974561397,0.000611818704117,0.616569132508085,2.1892781087007,ABCD2,ATP binding cassette subfamily D member 2
115,1.6064223011915e-05,4.90437536986279e-05,0.455853081051599,2.18542361553051,ADCY9,adenylate cyclase 9
745,0.000578656094905057,0.00113034093114928,0.669604762083575,2.16789862949913,MYRF,myelin regulatory factor
207,0.00983173762410259,0.0134095593038796,1.0767935735187,2.16152281397932,AKT1,AKT serine/threonine kinase 1
162,0.000943461322296755,0.00173281143258488,0.714181692042124,2.16059666063453,AP1B1,adaptor related protein complex 1 subunit beta 1
462,0.000836582375639725,0.00156774176898339,0.695268505913214,2.13968277045149,SERPINC1,serpin family C member 1
291,0.000268434368733022,0.000595691684979125,-0.575459733316134,-2.05505986336516,SLC25A4,solute carrier family 25 member 4
271,0.00197569041823027,0.00333623913115076,0.758586469786097,2.05143105781475,AMPD2,adenosine monophosphate deaminase 2
265,0.00263977265294214,0.00421084841870702,-0.787288171326142,-2.02997017508723,AMELX,amelogenin X-linked
319,0.00807847509344479,0.0112174006568616,-0.9628409003276,-2.01490885388121,APOF,apolipoprotein F
312,0.000364058699820101,0.000759416563878129,0.583083235695192,2.00512329907835,ANXA13,annexin A13
