Gene_ID,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,randomP.adjust,rank,Gene_Symbol,Gene_Description
2769,-1,-1.55334833235703,-2.19428844776791,-0.912408216946152,2.03351937798255e-06,0,1,22.5631112426836,2.03351937798255e-06,FALSE,5.9708844344821e-05,101,GNA15,G protein subunit alpha 15
1050,-1,-1.23308945117595,-1.66865407011118,-0.797524832240723,2.87826042166336e-08,0,1,30.787906411525,2.87826042166336e-08,FALSE,1.88108245622257e-06,102,CEBPA,CCAAT enhancer binding protein alpha
3112,-1,-1.18631198222801,-1.59205230431608,-0.780571660139939,1.00085795393678e-08,0,1,32.8395862491714,1.00085795393678e-08,FALSE,7.51014153583674e-07,103,HLA-DOB,"major histocompatibility complex, class II, DO beta"
136,1,1.84012571513376,1.00538852104956,2.67486290921796,1.55593177945561e-05,0,1,18.6677355815867,1.55593177945561e-05,FALSE,0.000328366435955945,104,ADORA2B,adenosine A2b receptor
1536,1,1.01140679541526,0.714095200406541,1.30871839042398,2.60222302663628e-11,0,1,44.4553693527418,2.60222302663628e-11,FALSE,3.76578846568935e-09,105,CYBB,cytochrome b-245 beta chain
131745,-1,-1.43626694318328,-2.01093354252537,-0.861600343841186,9.65478310620948e-07,0,1,23.9957650062055,9.65478310620948e-07,FALSE,3.23315546664139e-05,106,,
897,-1,-1.22511432602539,-1.66331527445293,-0.786913377597849,4.26211283444826e-08,0,1,30.0263672685819,4.26211283444826e-08,FALSE,2.64253209544391e-06,107,,
5761,-1,-1.27404511801205,-1.74442054243216,-0.803669693591939,1.10409205347667e-07,0,1,28.1823076614667,1.10409205347667e-07,FALSE,5.81010519569801e-06,108,,
2216,-1,-1.15860136784241,-1.55463907154654,-0.762563664138284,9.81817709582849e-09,0,1,32.8769248057322,9.81817709582848e-09,FALSE,7.50627426269756e-07,109,,
5768,1,1.12949677972624,0.745789588842398,1.51320397061008,7.95385953048131e-09,0,1,33.2863595320635,7.95385953048132e-09,FALSE,6.57735486071638e-07,110,QSOX1,quiescin sulfhydryl oxidase 1
662,-1,-1.5200603849156,-2.16305922500822,-0.877061544822979,3.59728065771469e-06,0,1,21.4682915509247,3.59728065771469e-06,FALSE,9.91576954085709e-05,111,BNIP1,BCL2 interacting protein 1
2029,-1,-1.8519848919521,-2.71331094004182,-0.990658843862377,2.50634851134817e-05,0,1,17.7597111692691,2.50634851134817e-05,FALSE,0.000474566549905738,112,ENSA,endosulfine alpha
7306,-1,-1.34381553711223,-1.87230161838737,-0.81532945583709,6.23712451770669e-07,0,1,24.8375291944747,6.23712451770668e-07,FALSE,2.29752986779523e-05,113,TYRP1,tyrosinase related protein 1
1190,-1,-1.96835336003955,-2.90741071128547,-1.02929600879363,3.98632907548442e-05,0,1,16.8778872063513,3.98632907548442e-05,FALSE,0.000693244867547763,114,,
9302,1,3.84906511630188,1.67676343804649,6.02136679455727,0.000515006252589242,0,1,12.0605308305589,0.000515006252589243,FALSE,0.00483056790623058,115,,
