Gene_ID,ENSEMBL,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
646.604,646,BNC1,basonuclin zinc finger protein 1,protein_coding,957.716687454833,-0.816737454961749,0.384813329442004,-2.1224250629417,0.0338020593773945,0.217900737753823
1999.2239,1999,ELF3,E74 like ETS transcription factor 3,protein_coding,2005.74894557235,-0.174655303250191,0.164887746229827,-1.05923761615826,0.289491577821195,0.648675363665274
335.324,335,APOA1,apolipoprotein A1,protein_coding,387.035390660567,0.106689193819242,0.273884841422995,0.389540338431761,0.696876476598613,0.896535066377554
2113.919,2113,ETS1,"ETS proto-oncogene 1, transcription factor",protein_coding,1131.30998183566,-0.374469026954704,0.401936183103627,-0.931662892509876,0.351510769248874,0.697969285136809
55.1273,55,ACP3,acid phosphatase 3,protein_coding,73.715953395442,-0.781280351176447,0.467862771234925,-1.66989211198458,0.0949407112743572,0.388127800725958
382.5206,382,ARF6,ADP ribosylation factor 6,protein_coding,669.23516640341,0.157171484907864,0.360759198806571,0.43566868267754,0.663077130832451,0.882482973905343
685.7573,685,BTC,betacellulin,protein_coding,579.544297704579,-0.416409574346798,0.228569508921515,-1.82180718815729,0.0684842466953744,0.32596545563341
109.4742,109,ADCY3,adenylate cyclase 3,protein_coding,127.124444682279,-0.165647735818772,0.428536489220891,-0.386542896545241,0.69909463965511,0.897500066343411
1992.288,1992,SERPINB1,serpin family B member 1,protein_coding,1439.66785893048,-0.33227359791438,0.200230322655949,-1.65945693692617,0.0970237512710898,0.391779807112426
1315.8679,1315,COPB1,COPI coat complex subunit beta 1,protein_coding,1314.71794717673,0.0814884024973006,0.306883187592362,0.265535571161829,0.790596911197597,0.931751537844725
727.3791,727,C5,complement C5,protein_coding,909.305757696924,0.0436844332687596,0.263129256367975,0.166018913562652,0.868142065851739,0.958265345978374
943.6459,943,TNFRSF8,TNF receptor superfamily member 8,protein_coding,1290.04123614242,0.542579679133038,0.231331945988972,2.34545936495474,0.0190036499433927,0.156059773006354
518.525,518,ATP5MC3,ATP synthase membrane subunit c locus 3,protein_coding,1139.99712405531,1.2353506897225,0.46231944020481,2.67207169392494,0.00753845405088285,0.0867710119005868
474.9406,474,ATOH1,atonal bHLH transcription factor 1,protein_coding,580.966398568215,0.171469529178455,0.210797334830708,0.813433098270252,0.415969789194702,0.745402420442361
1593.4303,1593,CYP27A1,cytochrome P450 family 27 subfamily A member 1,protein_coding,1817.49833099557,0.776788012038247,0.257508367172337,3.01655445439714,0.00255665292209082,0.0416011612690202
828.9426,828,CAPS,calcyphosine,protein_coding,930.266621866323,0.169395357142369,0.357676580649112,0.47359924106563,0.635785716777274,0.86772643070796
9.0367,9,NAT1,N-acetyltransferase 1,protein_coding,19.2839768612844,0.559166459924865,0.967171357646176,0.578146215253644,0.563165407455189,0.830373456444682
293.6656,293,SLC25A6,solute carrier family 25 member 6,protein_coding,354.848131587715,0.106107015904968,0.372436854198178,0.284899345241777,0.77572125762681,0.928587414663119
56.8278,56,ACRV1,acrosomal vesicle protein 1,protein_coding,129.616539874076,0.158877251188368,0.381752472414599,0.416178709160581,0.677279238041144,0.88831871241654
421.8477,421,ARVCF,ARVCF delta catenin family member,protein_coding,371.998945903915,-0.0976292625535701,0.390661290911554,-0.24990769452936,0.802658732622696,0.935505938299797
1314.2353,1314,COPA,COPI coat complex subunit alpha,protein_coding,1221.95648149682,0.525619110279469,0.189812715767158,2.76914593500808,0.00562034546560322,0.0709085713953045
1192.1643,1192,CLIC1,chloride intracellular channel 1,protein_coding,1407.93339287441,-0.0983016380811213,0.193190709528849,-0.508832118898771,0.610869903854625,0.854578381763709
401.3387,401,PHOX2A,paired like homeobox 2A,protein_coding,356.876204662784,0.0957534325864521,0.269274931183612,0.355597278088839,0.722142182356459,0.906023239921425
1390.6794,1390,CREM,cAMP responsive element modulator,protein_coding,1330.83004703721,-0.0221186912528459,0.286783512525306,-0.0771267882803903,0.93852268250219,0.982370307274815
